"ReferenceId","PolicyDefinitionId","DisplayName","DefaultEffect","AllowedEffects","PreferredEffect"
"037eea7a-bd0a-46c5-9a66-03aea78705d3","/providers/Microsoft.Authorization/policyDefinitions/037eea7a-bd0a-46c5-9a66-03aea78705d3","Azure AI Services resources should restrict network access","Audit","Audit, Deny, Disabled","Deny"
"055aa869-bc98-4af8-bafc-23f1ab6ffe2c","/providers/Microsoft.Authorization/policyDefinitions/055aa869-bc98-4af8-bafc-23f1ab6ffe2c","Azure Web Application Firewall should be enabled for Azure Front Door entry-points","Audit","Audit, Deny, Disabled","Deny"
"098fc59e-46c7-4d99-9b16-64990e543d75","/providers/Microsoft.Authorization/policyDefinitions/098fc59e-46c7-4d99-9b16-64990e543d75","Kubernetes cluster pod hostPath volumes should only use allowed host paths","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"0a370ff3-6cab-4e85-8995-295fd854c5b8","/providers/Microsoft.Authorization/policyDefinitions/0a370ff3-6cab-4e85-8995-295fd854c5b8","SQL servers should use customer-managed keys to encrypt data at rest","Audit","Audit, Deny, Disabled","Deny"
"0aa61e00-0a01-4a3c-9945-e93cffedf0e6","/providers/Microsoft.Authorization/policyDefinitions/0aa61e00-0a01-4a3c-9945-e93cffedf0e6","Azure Container Instance container group should use customer-managed key for encryption","Audit","Audit, Disabled, Deny","Deny"
"0b60c0b2-2dc2-4e1c-b5c9-abbed971de53","/providers/Microsoft.Authorization/policyDefinitions/0b60c0b2-2dc2-4e1c-b5c9-abbed971de53","Key vaults should have deletion protection enabled","Audit","Audit, Deny, Disabled","Deny"
"1a5b4dca-0b6f-4cf5-907c-56316bc1bf3d","/providers/Microsoft.Authorization/policyDefinitions/1a5b4dca-0b6f-4cf5-907c-56316bc1bf3d","Kubernetes clusters should be accessible only over HTTPS","Deny","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"1b8ca024-1d5c-4dec-8995-b1a932b41780","/providers/Microsoft.Authorization/policyDefinitions/1b8ca024-1d5c-4dec-8995-b1a932b41780","Public network access on Azure SQL Database should be disabled","Audit","Audit, Deny, Disabled","Deny"
"1c6e92c9-99f0-4e55-9cf2-0c234dc48f99","/providers/Microsoft.Authorization/policyDefinitions/1c6e92c9-99f0-4e55-9cf2-0c234dc48f99","Kubernetes clusters should not allow container privilege escalation","Audit","Audit, Deny, Disabled","Deny"
"1d84d5fb-01f6-4d12-ba4f-4a26081d403d","/providers/Microsoft.Authorization/policyDefinitions/1d84d5fb-01f6-4d12-ba4f-4a26081d403d","Virtual machines should be migrated to new Azure Resource Manager resources","Audit","Audit, Deny, Disabled","Deny"
"1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d","/providers/Microsoft.Authorization/policyDefinitions/1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d","Key vaults should have soft delete enabled","Audit","Audit, Deny, Disabled","Deny"
"1f68a601-6e6d-4e42-babf-3f643a047ea2","/providers/Microsoft.Authorization/policyDefinitions/1f68a601-6e6d-4e42-babf-3f643a047ea2","Azure Monitor Logs clusters should be encrypted with customer-managed key","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"1f905d99-2ab7-462c-a6b0-f709acca6c8f","/providers/Microsoft.Authorization/policyDefinitions/1f905d99-2ab7-462c-a6b0-f709acca6c8f","Azure Cosmos DB accounts should use customer-managed keys to encrypt data at rest","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"1fafeaf6-7927-4059-a50a-8eb2a7a6f2b5","/providers/Microsoft.Authorization/policyDefinitions/1fafeaf6-7927-4059-a50a-8eb2a7a6f2b5","Logic Apps Integration Service Environment should be encrypted with customer-managed keys","Audit","Audit, Deny, Disabled","Deny"
"1fd32ebd-e4c3-4e13-a54a-d7422d4d95f6","/providers/Microsoft.Authorization/policyDefinitions/1fd32ebd-e4c3-4e13-a54a-d7422d4d95f6","Azure HDInsight clusters should use encryption at host to encrypt data at rest","Audit","Audit, Deny, Disabled","Deny"
"233a2a17-77ca-4fb1-9b6b-69223d272a44","/providers/Microsoft.Authorization/policyDefinitions/233a2a17-77ca-4fb1-9b6b-69223d272a44","Kubernetes cluster services should listen only on allowed ports","Deny","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"2a1a9cdf-e04d-429a-8416-3bfb72a1b26f","/providers/Microsoft.Authorization/policyDefinitions/2a1a9cdf-e04d-429a-8416-3bfb72a1b26f","Storage accounts should restrict network access using virtual network rules","Audit","Audit, Deny, Disabled","Deny"
"2e94d99a-8a36-4563-bc77-810d8893b671","/providers/Microsoft.Authorization/policyDefinitions/2e94d99a-8a36-4563-bc77-810d8893b671","[Preview]: Azure Recovery Services vaults should use customer-managed keys for encrypting backup data","Audit","Audit, Deny, Disabled","Deny"
"3657f5a0-770e-44a3-b44e-9431ba1e9735","/providers/Microsoft.Authorization/policyDefinitions/3657f5a0-770e-44a3-b44e-9431ba1e9735","Automation account variables should be encrypted","Audit","Audit, Deny, Disabled","Deny"
"37e0d2fe-28a5-43d6-a273-67d37d1f5606","/providers/Microsoft.Authorization/policyDefinitions/37e0d2fe-28a5-43d6-a273-67d37d1f5606","Storage accounts should be migrated to new Azure Resource Manager resources","Audit","Audit, Deny, Disabled","Deny"
"41425d9f-d1a5-499a-9932-f8ed8453932c","/providers/Microsoft.Authorization/policyDefinitions/41425d9f-d1a5-499a-9932-f8ed8453932c","Temp disks and cache for agent node pools in Azure Kubernetes Service clusters should be encrypted at host","Audit","Audit, Deny, Disabled","Deny"
"47031206-ce96-41f8-861b-6a915f3de284","/providers/Microsoft.Authorization/policyDefinitions/47031206-ce96-41f8-861b-6a915f3de284","[Preview]: IoT Hub device provisioning service data should be encrypted using customer-managed keys (CMK)","Audit","Audit, Deny, Disabled","Deny"
