Rank,Impact_Level,Video_ID,Current_Title,Optimized_Title,Current_Views,Current_Retention,Implementation_Date,Post_Views,Post_Retention,Improvement_Percent,Notes
1,HIGH,4w3hQpbvOAo,Zombie ELEVATOR Survival! � Epic VR Horror #vr #zombies #pcvr #gaming #horror,UNDEAD VR Warfare! ⚔️ Zombie Army VR #vr #zombies #pcvr,952,26.62,,,,,
2,HIGH,lDkySz_KIgY,DANGEROUS VR Territory! 💀 Into the Radius 2 Pechorsk Outskirts #intotheradius2 #vr #pcvr #gaming,DANGEROUS Anomaly Zone! ⚡ Into the Radius 2 #intotheradius2 #vr #pcvr,470,31.980000000000004,,,,,
3,MEDIUM,KUrSLN-szIA,Into the Radius 2 VR Adventure! 🎮 PCVR Gameplay #vr #pcvr #gaming #intotheradius2,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,121,9.17,,,,,
4,MEDIUM,Mvw8NEYHwPs,This VR Game BLEW MY MIND! 🤯 Into the Radius 2 #Quest3 #standalone #gaming #intotheradius2 #amazing,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,85,4.95,,,,,
5,MEDIUM,FyAPzSVi2AE,Hidden VR GEM! 💎 ConVRgence Epic Game #vr #pcvr #gaming #convrgence #hiddengem,The Soviet VR Game! 🌲 ConVRgence #vr #pcvr #convrgence #stalker,66,18.38,,,,,
6,MEDIUM,xc5kIFO2N_o,This VR Game BLEW MY MIND! 🤯 Into the Radius 2 #vr #pcvr #gaming #intotheradius2 #amazing,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,53,26.08,,,,,
7,RECOVERY,P3-wHz7OI4k,You WON'T Believe This VR Zombie! 😱 Terrifying Gameplay #vr #zombies #pcvr #gaming #viral,UNDEAD VR Warfare! ⚔️ Zombie Army VR #vr #zombies #pcvr,42,3.19,,,,,
8,RECOVERY,sDwSXBdctF0,This VR Game BLEW MY MIND! 🤯 Into the Radius 2 #vr #pcvr #gaming #intotheradius2 #amazing,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,30,23.98,,,,,
9,RECOVERY,zqtUJ3rmJf0,Hidden VR GEM! 💎 ConVRgence Epic game #vr #pcvr #gaming #convrgence #hiddengem,The Soviet VR Game! 🌲 ConVRgence #vr #pcvr #convrgence #stalker,30,41.52,,,,,
10,RECOVERY,RwxnlHMgZ1s,Hidden VR GEM! 💎 ConVRgence Episode 6 #vr #pcvr #gaming #convrgence #hiddengem,MASSIVE Update! 🚀 ConVRgence Episode 6 #vr #pcvr #convrgence #stalker,29,26.530000000000005,,,,,
11,RECOVERY,n1XC9wd1Qzs,Hidden VR GEM! 💎 ConVRgence Episode 7 #vr #pcvr #gaming #convrgence #hiddengem,FLAMETHROWER Mayhem! 🔥 ConVRgence Episode 7 #vr #pcvr #convrgence,29,14.59,,,,,
12,RECOVERY,BwU6QdViBMg,ConVRgence Episode 4 - I got him a beer!,AI BEG for Their Lives! 😰 ConVRgence Episode 4 #vr #pcvr #convrgence,26,41.03,,,,,
13,RECOVERY,Wb3GcMZDBP8,ConVRgence Episode 5  - Difficulty ramps up,CROSSBOW Action! 🏹 ConVRgence Episode 5 #vr #pcvr #convrgence #stalker,25,40.48,,,,,
14,RECOVERY,kpxRbVpOZhg,ConVRgence Episode 2,STALKER VR Extraction Shooter! 🎯 ConVRgence Episode 2 #vr #pcvr #convrgence,25,43.39,,,,,
15,RECOVERY,5epq4kOQGHs,Into the Radius 2 EA - .13 .1 - Pechorsk Climbing,INSANE VR Climbing! 🧗 Into the Radius 2 #intotheradius2 #vr #pcvr,23,13.01,,,,,
16,RECOVERY,4LC3u7C_0ds,Into the Radius 2 - Early Access - .13 Beta 2 - Part 4 - Security Level 4,MAXIMUM Security VR! 🚨 Into the Radius 2 #intotheradius2 #vr #pcvr,22,7.780000000000001,,,,,
17,RECOVERY,ap64SQOI8p0,Into the Radius 2 EA - .13 Ghost Town Update - Complete Play Through - Part 4,The SCARIEST VR Game is BACK! 💀 Into the Radius 2 #intotheradius2 #vr,22,7.17,,,,,
18,RECOVERY,b_ll7uSuOLY,Zombie Army VR - Part 2,WWII Zombies in VR! 🪖 Zombie Army VR Part 2 #vr #zombies #pcvr,22,19.57,,,,,
19,RECOVERY,FKYjgnqbnT8,Into the Radius 2 EA - .13 Ghost Town Update - Complete Playthrough Nightmarish difficulty - Part 1,The SCARIEST VR Game is BACK! 💀 Into the Radius 2 #intotheradius2 #vr,21,6.01,,,,,
20,RECOVERY,KkHL38gsc7E,Unloop Gameplay Review,This UNKNOWN VR Game is AMAZING! 🤩 Unloop Hidden Gem #vr #pcvr #hiddengem,20,20.74,,,,,
21,RECOVERY,43Cxfom6V34,Zombie Army VR - Part 3,VR Zombie CHAOS Mode! 🔥 Zombie Army VR Part 3 #vr #zombies #pcvr,19,18.9,,,,,
22,RECOVERY,FSJ4NLIeurs,Into the Radius 2 EA - Enemy Count Very High - Perchorsk Outskirts - No Commentary,VR Enemy SWARM Mode! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,19,11.15,,,,,
23,RECOVERY,siDLs-a2-hw,Zombie Army VR - Part 4,FINAL Zombie Battle! ⚔️ Zombie Army VR Part 4 #vr #zombies #pcvr,19,21.22,,,,,
24,RECOVERY,n3r0IPCUQcs,Into The Radius 2 - v.12 - Post SL3 - Episode 1,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 v12.None Episode 1 #intotheradius2 #vr #pcvr,14,15.82,,,,,
25,RECOVERY,yn7oy6HW0BM,Into the Radius 2 EA - .13 Ghost Town Update - Complete Play Through - Part 3,The SCARIEST VR Game is BACK! 💀 Into the Radius 2 #intotheradius2 #vr,14,10.37,,,,,
26,RECOVERY,-uZjbr4GMAw,Zombie Army VR - Part 1,Is This The NEXT BEST VR Zombie Game?! 🧟 Zombie Army VR Part 1 #vr #zombies #pcvr,11,12.68,,,,,
27,RECOVERY,AoC3OAKmdIU,Gorn 2 - First Boss,EPIC VR Gladiator Returns! ⚔️ Gorn 2 Boss Battle #vr #gaming #pcvr #boss,10,4.22,,,,,
28,RECOVERY,3nfoq1KfXys,Escaping Wonderland Episode 4 -Mirror Mire - Twilight Acres,VR Wonderland NIGHTMARE! 🐰 Escaping Wonderland Episode 4 #vr #pcvr #puzzle,9,6.44,,,,,
29,RECOVERY,J0vV49urgOA,Into the Radius 2 EA Deathless Ironman - Episode 1,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 1 #intotheradius2 #vr #pcvr,9,0.4099999999999999,,,,,
30,RECOVERY,uf_RIFv3yeY,Into the Radius 2 EA  - .13.1 Update  - Default Nightmare Difficulty - Deathless - Part 3,VR NIGHTMARE Mode! 😱 Into the Radius 2 v13.1 #intotheradius2 #vr #pcvr,9,6.54,,,,,
31,RECOVERY,78IsElx5r1U,My First Time Playing Half Life Alyx Part 1,This VR Game Will BLOW Your Mind! 🤯 My First Time Playin... #vr #pcvr #gaming,8,18.91,,,,,
32,RECOVERY,Q562n_R0khE,Into The Radius 2 - 1,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,8,3.4799999999999995,,,,,
33,RECOVERY,QtX7MoXh5wM,My First Time Playing Half Life Alyx Part 4,This VR Game Will BLOW Your Mind! 🤯 My First Time Playin... #vr #pcvr #gaming,8,13.51,,,,,
34,RECOVERY,Vptow4hkJJ0,Into the Radius Deathless Realistic - Episode 1,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,8,10.82,,,,,
35,RECOVERY,riPwNfRQ0_Q,Into the Radius 2 EA - .13 Ghost Town Update - Complete Playthrough - Part 2,The SCARIEST VR Game is BACK! 💀 Into the Radius 2 #intotheradius2 #vr,8,9.98,,,,,
36,RECOVERY,px5a8v1VsdM,Into the Radius 2 EA - .13 Ghost Town Update - Complete Play Through - Part 5,The SCARIEST VR Game is BACK! 💀 Into the Radius 2 #intotheradius2 #vr,7,7.180000000000001,,,,,
37,RECOVERY,-J977JnpBf4,Into The Radius OG Part 1 -  Realistic Ironman,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,6,19.85,,,,,
