Rank,Impact_Level,Video_ID,Current_Title,Optimized_Title,Current_Views,Current_Retention,Implementation_Date,Post_Views,Post_Retention,Improvement_Percent,Notes,Implementation_Status
1,HIGH,4w3hQpbvOAo,Zombie Elevator #zombiearmyvr #gaming #vr #zombies #pcvr #shorts  #virtualreality #gameplay,This VR Zombie TERRIFIED Me! 😱 Epic Horror Gameplay #vr #zombies #pcvr #gaming #horror,952,26.62,2025-09-15,,,,,COMPLETED
2,HIGH,lDkySz_KIgY,Toughest neighborhood in Pechorsk Outskirts #gaming  #intotheradius2 #pcvr #virtualreality #shorts,MOST DANGEROUS VR Location! 😰 Into the Radius 2 Survival #vr #pcvr #gaming #intotheradius2,470,31.980000000000004,2025-09-15,,,,,COMPLETED
3,MEDIUM,KUrSLN-szIA,Into the Radius 2 Early Access .13.7 Realistic (bit harder) | No commentary | annotated tips,Into the Radius 2 VR Adventure! 🎮 PCVR Gameplay #vr #pcvr #gaming #intotheradius2,121,9.17,2025-09-15,,,,,COMPLETED
4,MEDIUM,Mvw8NEYHwPs,Into the Radius 2 Early Access - Standalone Meta Quest 3,This VR Game BLEW MY MIND! 🤯 Into the Radius 2 #vr #pcvr #gaming #intotheradius2 #amazing,85,4.95,2025-09-15,,,,,COMPLETED
5,MEDIUM,FyAPzSVi2AE,ConVRgence Episode 1,Hidden VR GEM! 💎 ConVRgence Epic Story #vr #pcvr #gaming #convrgence #hiddengem,66,18.38,2025-09-15,,,,,COMPLETED
6,MEDIUM,xc5kIFO2N_o,Into the Radius 2 EA .13.7 - Realistic,This VR Game BLEW MY MIND! 🤯 Into the Radius 2 #vr #pcvr #gaming #intotheradius2 #amazing,53,26.08,2025-09-15,,,,,COMPLETED
7,RECOVERY,P3-wHz7OI4k,Zombie Army VR - Part 5,You WON'T Believe This VR Zombie! 😱 Terrifying Gameplay #vr #zombies #pcvr #gaming #viral,42,3.19,2025-09-15,,,,,COMPLETED
8,RECOVERY,sDwSXBdctF0,Into the Radius 2 EA .13.7 Just some fun,This VR Game BLEW MY MIND! 🤯 Into the Radius 2 #vr #pcvr #gaming #intotheradius2 #amazing,30,23.98,2025-09-15,,,,,COMPLETED
9,RECOVERY,zqtUJ3rmJf0,ConVRgence Episode 3 - First Demon Boss Encounter!,Hidden VR GEM! 💎 ConVRgence Epic Story #vr #pcvr #gaming #convrgence #hiddengem,30,41.52,2025-09-15,,,,,COMPLETED
10,RECOVERY,RwxnlHMgZ1s,ConVRgence Episode 6 - Difficulty ramps up,Hidden VR GEM! 💎 ConVRgence Epic Story #vr #pcvr #gaming #convrgence #hiddengem,29,26.530000000000005,2025-09-15,,,,,COMPLETED
