video_id,title,views,averageViewDuration,averageViewPercentage,likes,comments,subscribersGained,total_views,total_likes,total_comments,published_date,tags,description
zio57CR_Z48,A Creep of creepers!  #intotheradius2 #gaming #vr #shorts,1179,13,41.63,5,0,0,2040,7,0,2025-06-14T16:10:22Z,,"attacked by a bevy, a herd, or a creep of creepers, if you will :)"
4w3hQpbvOAo,Zombie Elevator #zombiearmyvr #gaming #vr #zombies #pcvr #shorts  #virtualreality #gameplay,952,18,26.619999999999997,20,3,0,952,20,5,2025-06-17T19:01:31Z,,"How to defeat a horde of zombies rushing an elevator :)
https://youtu.be/43Cxfom6V34"
lDkySz_KIgY,Toughest neighborhood in Pechorsk Outskirts #gaming  #intotheradius2 #pcvr #virtualreality #shorts,470,19,31.980000000000004,12,2,0,470,12,3,2025-06-23T13:36:21Z,,"In the toughest neighborhood in Pechorsk Outskirts, buildings just north of the central park.
Enemy count = Very high"
KByO_BdDjHU,Sniping the sniper #pcvr #intotheradius2 #gaming #shorts,419,13,55.89999999999999,2,0,0,1018,3,0,2025-06-13T18:38:07Z,,"Sniping the sniper, you have to train an eagle eye!"
Grt8_cwwL0U,Into the Radius 2 Early Access .13.7 - Fun with mods!  Helo mod broke my stream.    I will fix.,177,99,1.72,2,1,1,177,2,2,2025-07-16T15:47:47Z,,"Mod community is catching up with .13.7!
Helo mod is working in Pechorsk Outskirts!"
OQfIsqxcwqo,Into the Radius 2 - Early Access - .13.5,128,295,4.98,3,0,0,128,3,0,2025-06-19T13:29:02Z,,"Lets see what is fixed!
Sounds are great!
Nerfed Enemies are great!
Performance is butter!
Mission Rewards - Very High
Item Prices - Very High
Loot - High
Enemy Count - Very High
Everything else set t..."
JqfH98zOHMQ,Into the Radius 2 Early Access .13.7 - bit harder than realistic,126,490,6.35,4,1,0,126,4,2,2025-07-25T11:12:21Z,,"Settings changed from default realistic difficulty
Mission Rewards = Low
Enemy Count = High
Anomaly Density = Low"
KUrSLN-szIA,Into the Radius 2 Early Access .13.7 Realistic (bit harder) | No commentary | annotated tips,121,842,9.17,5,2,0,123,5,5,2025-08-04T05:45:47Z,"Into the Radius 2, Quest 3, pcvr","Had to redo my from scratch play through.
no comments on this one, only annotated tips"
Wt5QXqdLFzQ,Into the Radius 2 Early Access .13.7 - Fun with mods!,119,208,2.91,2,0,1,119,2,0,2025-07-17T12:29:19Z,,"Mod community is catching up with .13.7!
Helo mod is working in Pechorsk Outskirts!"
3O4LdukdWi4,Into the Radius 2 Early Access .13.7 - bit harder than realistic,96,790,8.43,2,0,0,96,2,0,2025-08-06T14:45:17Z,"into the radius 2, quest 3, pcvr, virtualreality","Settings changed from default realistic difficulty
Mission Rewards = Low
Enemy Count = High
Anomaly Density = Low"
Mvw8NEYHwPs,Into the Radius 2 Early Access - Standalone Meta Quest 3,85,385,4.95,2,0,1,348,9,8,2025-05-22T07:10:23Z,,"Lets see what standalone ITR2 looks like!

Gameplay is dead on....
Resolution very low (I am sure it will improve)
Performance is on average good, but stutters in parts, which is to be expected.  I ex..."
imKVwESKTMg,Into the Radius 2 - Early Access - .13.7 - getting the Pechos!,82,587,5.91,5,1,1,82,5,6,2025-07-10T14:16:10Z,,"Lets see what is fixed!
Sounds are great!
Nerfed Enemies are great!
Performance is butter!
Mission Rewards - Very High
Item Prices - Very High
Loot - High
Enemy Count - Very High
Everything else set t..."
mqiLDPUPzGg,BIG UPDATE!!!  Into the Radius 2 Early Access .14 - Full FOV Stream,74,1047,15.960000000000003,5,4,1,87,8,7,2025-09-12T15:19:56Z,"into the radius 2, quest 3, pcvr, virtual reality","This is a full FOV stream, you can also go to vertical stream located here:
https://youtube.com/live/ja0Cuv_vLUU?feature=share

Having some fun with missions, looking forward to the upcoming .14 beta!"
06fN9wyz8MM,Into the Radius 2 Early Access .13.7 - Realistic but a bit harder,68,346,5.44,2,0,0,68,2,0,2025-07-12T12:04:20Z,,
8X9l55R1wJM,Into the Radius 2 Early Access .13.7 - Realistic but a bit harder,67,610,10.41,3,0,0,67,3,0,2025-07-14T07:49:40Z,,"Continuing in brutal settings
Game is coming along!"
FyAPzSVi2AE,ConVRgence Episode 1,66,1185,18.38,3,1,0,67,3,2,2025-08-14T22:40:49Z,"ConVRgence, pcvr, virtual reality, quest 3","I tried this game a while back and it had potential.
There have been some updates, and a new one coming this fall.
I can definitely say this game is a must own, and must play, its getting really good."
TFCdeBEo6R8,Into the Radius 2 Early Access .13.7 - Full FOV Stream,55,596,10.71,4,0,0,55,4,0,2025-08-28T12:16:28Z,"Into the Radius 2, quest 3, pcvr, virtual reality","Vertical livestream here:
https://youtube.com/live/44DLtSeEKmI?feature=share
Check out discord Into the Radius 2 channel
Additional spoiler with the new detector and invisible artifacts!
Gonna be fun!..."
xc5kIFO2N_o,Into the Radius 2 EA .13.7 - Realistic,53,1445,26.08,3,1,0,53,3,2,2025-07-13T04:07:01Z,,"Starting from scratch.
Enemy spawns and behavior have changed in a good way.
Tweaked the default Realistic difficulty to be a bit harder.
Will see if I make it deathless or not."
P3-wHz7OI4k,Zombie Army VR - Part 5,42,148,3.19,1,0,0,42,1,0,2025-06-24T23:24:20Z,,More Zombies!
y0MsVxzf_nM,Into the Radius 2 - Early Access - .13.1 Prod - Just some fun!,32,371,4.84,0,0,0,68,2,0,2025-06-15T07:46:05Z,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius 2","Just some fun in the Radius, don't know where it will take me.
Mission Rewards - Very High
Item Prices - Very High
Loot - High
Everything else set to High for gunfight difficulty

Chat ""!specs"" to see..."
sDwSXBdctF0,Into the Radius 2 EA .13.7 Just some fun,30,1276,23.98,4,1,0,30,4,2,2025-08-13T06:10:43Z,"Into the Radius 2, pcvr, virtual reality, queest 3","Mission Rewards: Very high
Item Prices: Very high
Enemy Count: Very high
Enemy damage: High
Enemy Detection Time: Low
Plus some other harder settings equal to Realistic"
