video_id,title,views,averageViewDuration,averageViewPercentage,likes,comments,subscribersGained,total_views,total_likes,total_comments,published_date,duration_seconds,is_short,is_livestream,tags,description
Grt8_cwwL0U,Into the Radius 2 Early Access .13.7 - Fun with mods!  Helo mod broke my stream.    I will fix.,177,99,1.72,2,1,1,177,2,2,2025-07-16T15:47:47Z,5786,False,True,,"Mod community is catching up with .13.7!
Helo mod is working in Pechorsk Outskirts!"
OQfIsqxcwqo,Into the Radius 2 - Early Access - .13.5,128,295,4.98,3,0,0,128,3,0,2025-06-19T13:29:02Z,5904,False,True,,"Lets see what is fixed!
Sounds are great!
Nerfed Enemies are great!
Performance is butter!
Mission Rewards - Very High
Item Prices - Very High
Loot - High
Enemy Count - Very High
Everything else set t..."
JqfH98zOHMQ,Into the Radius 2 Early Access .13.7 - bit harder than realistic,126,490,6.35,4,1,0,126,4,2,2025-07-25T11:12:21Z,7717,False,True,,"Settings changed from default realistic difficulty
Mission Rewards = Low
Enemy Count = High
Anomaly Density = Low"
Wt5QXqdLFzQ,Into the Radius 2 Early Access .13.7 - Fun with mods!,119,208,2.91,2,0,1,119,2,0,2025-07-17T12:29:19Z,7114,False,True,,"Mod community is catching up with .13.7!
Helo mod is working in Pechorsk Outskirts!"
3O4LdukdWi4,Into the Radius 2 Early Access .13.7 - bit harder than realistic,96,790,8.43,2,0,0,96,2,0,2025-08-06T14:45:17Z,9370,False,True,"into the radius 2, quest 3, pcvr, virtualreality","Settings changed from default realistic difficulty
Mission Rewards = Low
Enemy Count = High
Anomaly Density = Low"
imKVwESKTMg,Into the Radius 2 - Early Access - .13.7 - getting the Pechos!,82,587,5.91,5,1,1,82,5,6,2025-07-10T14:16:10Z,9893,False,True,,"Lets see what is fixed!
Sounds are great!
Nerfed Enemies are great!
Performance is butter!
Mission Rewards - Very High
Item Prices - Very High
Loot - High
Enemy Count - Very High
Everything else set t..."
mqiLDPUPzGg,BIG UPDATE!!!  Into the Radius 2 Early Access .14 - Full FOV Stream,74,1047,15.960000000000003,5,4,1,89,8,7,2025-09-12T15:19:56Z,6563,False,True,"into the radius 2, quest 3, pcvr, virtual reality","This is a full FOV stream, you can also go to vertical stream located here:
https://youtube.com/live/ja0Cuv_vLUU?feature=share

Having some fun with missions, looking forward to the upcoming .14 beta!"
06fN9wyz8MM,Into the Radius 2 Early Access .13.7 - Realistic but a bit harder,68,346,5.44,2,0,0,68,2,0,2025-07-12T12:04:20Z,6352,False,True,,
8X9l55R1wJM,Into the Radius 2 Early Access .13.7 - Realistic but a bit harder,67,610,10.41,3,0,0,67,3,0,2025-07-14T07:49:40Z,5867,False,True,,"Continuing in brutal settings
Game is coming along!"
TFCdeBEo6R8,Into the Radius 2 Early Access .13.7 - Full FOV Stream,55,596,10.71,4,0,0,55,4,0,2025-08-28T12:16:28Z,5571,False,True,"Into the Radius 2, quest 3, pcvr, virtual reality","Vertical livestream here:
https://youtube.com/live/44DLtSeEKmI?feature=share
Check out discord Into the Radius 2 channel
Additional spoiler with the new detector and invisible artifacts!
Gonna be fun!..."
y0MsVxzf_nM,Into the Radius 2 - Early Access - .13.1 Prod - Just some fun!,32,371,4.84,0,0,0,68,2,0,2025-06-15T07:46:05Z,7675,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius 2","Just some fun in the Radius, don't know where it will take me.
Mission Rewards - Very High
Item Prices - Very High
Loot - High
Everything else set to High for gunfight difficulty

Chat ""!specs"" to see..."
